region, enduse, sector, fueltype, fuel
S12000023, is_refrigeration, motor_vehicles, 3, 0.0
S12000023, is_refrigeration, motor_vehicles, 4, 0.0
S12000023, is_refrigeration, motor_vehicles, 5, 0.0
S12000023, is_refrigeration, motor_vehicles, 6, 0.0
S12000023, is_refrigeration, motor_vehicles, 7, 0.0
S12000023, is_low_temp_process, motor_vehicles, 0, 94.81783605894509
S12000023, is_low_temp_process, motor_vehicles, 1, 613.5271744990565
S12000023, is_low_temp_process, motor_vehicles, 2, 379.27134423578036
S12000023, is_low_temp_process, motor_vehicles, 3, 250.98838956779585
S12000023, is_low_temp_process, motor_vehicles, 4, 0.0
S12000023, is_low_temp_process, motor_vehicles, 5, 0.0
S12000023, is_low_temp_process, motor_vehicles, 6, 0.0
S12000023, is_low_temp_process, motor_vehicles, 7, 0.0
S12000023, is_other, motor_vehicles, 0, 16.73255930451972
S12000023, is_other, motor_vehicles, 1, 105.97287559529158
S12000023, is_other, motor_vehicles, 2, 66.93023721807889
S12000023, is_other, motor_vehicles, 3, 44.62015814538593
S12000023, is_other, motor_vehicles, 4, 0.0
S12000023, is_other, motor_vehicles, 5, 0.0
S12000023, is_other, motor_vehicles, 6, 0.0
S12000023, is_other, motor_vehicles, 7, 0.0
S12000023, is_space_heating, motor_vehicles, 0, 117.12791513163806
S12000023, is_space_heating, motor_vehicles, 1, 780.8527675442538
S12000023, is_space_heating, motor_vehicles, 2, 485.244219831072
S12000023, is_space_heating, motor_vehicles, 3, 317.9186267858748
S12000023, is_space_heating, motor_vehicles, 4, 0.0
S12000023, is_space_heating, motor_vehicles, 5, 0.0
S12000023, is_space_heating, motor_vehicles, 6, 0.0
S12000023, is_space_heating, motor_vehicles, 7, 0.0
S12000023, is_compressed_air, motor_vehicles, 0, 0.0
S12000023, is_compressed_air, motor_vehicles, 1, 0.0
S12000023, is_compressed_air, motor_vehicles, 2, 145.01551397250427
S12000023, is_compressed_air, motor_vehicles, 3, 0.0
S12000023, is_compressed_air, motor_vehicles, 4, 0.0
S12000023, is_compressed_air, motor_vehicles, 5, 0.0
S12000023, is_compressed_air, motor_vehicles, 6, 0.0
S12000023, is_compressed_air, motor_vehicles, 7, 0.0
S12000023, is_drying_separation, motor_vehicles, 0, 0.0
S12000023, is_drying_separation, motor_vehicles, 1, 0.0
S12000023, is_drying_separation, motor_vehicles, 2, 0.0
S12000023, is_drying_separation, motor_vehicles, 3, 0.0
S12000023, is_drying_separation, motor_vehicles, 4, 0.0
S12000023, is_drying_separation, motor_vehicles, 5, 0.0
S12000023, is_drying_separation, motor_vehicles, 6, 0.0
S12000023, is_drying_separation, motor_vehicles, 7, 0.0
S12000023, is_motors, textiles, 0, 0.0
S12000023, is_motors, textiles, 1, 0.0
S12000023, is_motors, textiles, 2, 412.7364628448198
S12000023, is_motors, textiles, 3, 0.0
S12000023, is_motors, textiles, 4, 0.0
S12000023, is_motors, textiles, 5, 0.0
S12000023, is_motors, textiles, 6, 0.0
S12000023, is_motors, textiles, 7, 0.0
S12000023, is_lighting, textiles, 0, 0.0
S12000023, is_lighting, textiles, 1, 0.0
S12000023, is_lighting, textiles, 2, 0.0
S12000023, is_lighting, textiles, 3, 0.0
S12000023, is_lighting, textiles, 4, 0.0
S12000023, is_lighting, textiles, 5, 0.0
S12000023, is_lighting, textiles, 6, 0.0
S12000023, is_lighting, textiles, 7, 0.0
S12000023, is_high_temp_process, textiles, 0, 0.0
S12000023, is_high_temp_process, textiles, 1, 0.0
S12000023, is_high_temp_process, textiles, 2, 0.0
S12000023, is_high_temp_process, textiles, 3, 0.0
S12000023, is_high_temp_process, textiles, 4, 0.0
S12000023, is_high_temp_process, textiles, 5, 0.0
S12000023, is_high_temp_process, textiles, 6, 0.0
S12000023, is_high_temp_process, textiles, 7, 0.0
S12000023, is_refrigeration, textiles, 0, 0.0
S12000023, is_refrigeration, textiles, 1, 0.0
S12000023, is_refrigeration, textiles, 2, 0.0
S12000023, is_refrigeration, textiles, 3, 0.0
S12000023, is_refrigeration, textiles, 4, 0.0
S12000023, is_refrigeration, textiles, 5, 0.0
S12000023, is_refrigeration, textiles, 6, 0.0
S12000023, is_refrigeration, textiles, 7, 0.0
S12000023, is_low_temp_process, textiles, 0, 83.66279652259861
S12000023, is_low_temp_process, textiles, 1, 669.3023721807889
S12000023, is_low_temp_process, textiles, 2, 172.90311281337048
S12000023, is_low_temp_process, textiles, 3, 55.775197681732415
S12000023, is_low_temp_process, textiles, 4, 0.0
S12000023, is_low_temp_process, textiles, 5, 0.0
S12000023, is_low_temp_process, textiles, 6, 0.0
S12000023, is_low_temp_process, textiles, 7, 0.0
S12000023, is_other, textiles, 0, 0.0
S12000023, is_other, textiles, 1, 0.0
S12000023, is_other, textiles, 2, 0.0
S12000023, is_other, textiles, 3, 0.0
S12000023, is_other, textiles, 4, 0.0
S12000023, is_other, textiles, 5, 0.0
S12000023, is_other, textiles, 6, 0.0
S12000023, is_other, textiles, 7, 0.0
S12000023, is_space_heating, textiles, 0, 94.81783605894509
S12000023, is_space_heating, textiles, 1, 736.2326093988678
S12000023, is_space_heating, textiles, 2, 195.21319188606344
S12000023, is_space_heating, textiles, 3, 61.35271744990565
S12000023, is_space_heating, textiles, 4, 0.0
S12000023, is_space_heating, textiles, 5, 0.0
S12000023, is_space_heating, textiles, 6, 0.0
S12000023, is_space_heating, textiles, 7, 0.0
S12000023, is_compressed_air, textiles, 0, 0.0
S12000023, is_compressed_air, textiles, 1, 0.0
S12000023, is_compressed_air, textiles, 2, 0.0
S12000023, is_compressed_air, textiles, 3, 0.0
S12000023, is_compressed_air, textiles, 4, 0.0
S12000023, is_compressed_air, textiles, 5, 0.0
S12000023, is_compressed_air, textiles, 6, 0.0
S12000023, is_compressed_air, textiles, 7, 0.0
S12000023, is_drying_separation, textiles, 0, 22.310079072692965
S12000023, is_drying_separation, textiles, 1, 189.63567211789018
S12000023, is_drying_separation, textiles, 2, 50.19767791355917
S12000023, is_drying_separation, textiles, 3, 16.73255930451972
S12000023, is_drying_separation, textiles, 4, 0.0
