Scotland_N Mean Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from February 2016 and Winter 2016.  Last updated 02/03/2017.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1992    4.1    4.2    4.1    5.6   10.2   12.2   11.9   11.1    9.7    5.4    4.0    2.4    4.22   6.64  11.73   6.36    7.08
1993    2.9    4.7    4.3    6.3    7.8   10.8   10.8   10.8    9.5    5.9    3.6    1.3    3.28   6.14  10.80   6.30    6.56
1994    2.1    1.3    3.0    4.9    7.4   10.1   13.6   11.7    9.5    7.2    7.2    3.6    1.59   5.13  11.82   7.94    6.84
1995    1.8    2.2    2.0    5.3    7.9   10.9   13.8   14.8   10.4    9.2    5.5    0.2    2.57   5.07  13.18   8.39    7.04
1996    3.4    1.2    2.9    6.4    6.2   10.8   12.0   13.1   11.2    8.5    2.6    1.5    1.62   5.15  11.98   7.45    6.67
1997    2.2    3.2    5.6    6.2    8.0   10.4   13.6   14.8   10.4    7.5    6.6    4.0    2.28   6.57  12.94   8.17    7.73
1998    3.1    6.1    4.2    4.4    8.9    9.7   11.5   12.0   11.5    6.3    4.1    4.1    4.35   5.84  11.05   7.26    7.14
1999    2.8    2.3    4.3    6.6    8.9   10.1   13.1   12.4   11.8    8.3    5.6    1.6    3.05   6.57  11.86   8.54    7.32
2000    3.8    3.1    5.1    4.9    9.0   10.0   12.0   12.8   11.3    7.9    4.0    3.0    2.85   6.32  11.60   7.74    7.26
2001    1.0    1.7    2.3    5.2    9.7   10.2   12.3   12.7   10.3   10.3    5.6    2.5    1.89   5.73  11.75   8.75    7.01
2002    4.4    3.0    4.7    6.9    9.3   11.7   12.2   13.5   11.5    6.7    6.0    3.2    3.29   6.97  12.46   8.07    7.78
2003    2.6    2.9    5.6    8.1    8.7   12.6   14.5   14.0   11.1    6.4    6.1    3.0    2.88   7.46  13.73   7.85    7.99
2004    3.1    2.7    4.7    7.1    9.3   11.3   12.4   14.0   11.1    7.3    5.7    4.5    2.96   7.03  12.57   8.06    7.79
2005    4.2    2.6    5.2    6.4    7.6   11.6   12.7   12.6   11.5    9.5    4.7    3.9    3.81   6.43  12.35   8.56    7.76
2006    3.5    2.9    2.1    5.2    8.3   12.1   15.1   12.8   13.0    9.4    5.8    4.4    3.44   5.20  13.34   9.40    7.91
2007    4.3    3.9    5.0    8.6    8.2   11.3   12.2   12.0   10.1    9.4    5.7    3.3    4.21   7.22  11.84   8.38    7.84
2008    3.1    4.0    3.2    5.4   10.3   10.7   13.7   13.1   11.0    6.9    4.7    2.2    3.45   6.29  12.51   7.51    7.36
2009    2.9    2.7    4.7    7.7    9.0   11.5   13.4   13.1   11.6    8.5    5.2    0.4    2.60   7.11  12.70   8.42    7.58
2010    0.3    0.2    3.6    6.2    7.8   12.0   12.6   12.0   10.7    7.9    2.4   -1.6    0.31   5.86  12.17   7.02    6.20
2011    2.4    3.6    4.4    8.8    8.9   10.3   12.2   11.7   11.6    9.1    7.5    2.8    1.39   7.35  11.40   9.38    7.78
2012    3.0    4.5    6.8    4.5    8.1    9.9   11.7   13.0    9.8    5.7    4.3    2.0    3.40   6.49  11.54   6.62    6.96
2013    2.9    2.2    1.4    4.2    7.8   11.1   14.5   13.2   10.8    8.9    4.3    4.8    2.37   4.47  12.94   8.02    7.21
2014    3.4    3.6    5.3    7.6    9.2   12.4   14.0   11.8   12.1    8.6    6.1    3.1    3.93   7.39  12.76   8.94    8.13
2015    2.4    3.0    4.2    6.0    7.0    9.8   11.7   12.6   10.6    8.7    5.9    4.9    2.83   5.70  11.38   8.42    7.26
2016    2.8    1.9    4.4    4.7    9.3   11.8   12.5   12.8   12.3    8.1    3.6    5.6    3.21   6.17  12.37   7.98    7.50
2017    3.9    3.7                                                                          4.42
